state,district,city,property_type,beds,baths,size_sqft,furnishing,facing,age_years,price_inr,locality_key
Telangana,Jangaon,Jangaon,Independent House,5,4,2590,Unfurnished,North,1,10125000,Jangaon | Jangaon Town
Andhra Pradesh,Kakinada,Kakinada,Residential Plot,0,0,1350,Not Applicable,North-East,0,4425000,Kakinada | Jagannaickpur
Telangana,Sangareddy,Hyderabad,Apartment,2,1,981,Unfurnished,West,0,8275000,Sangareddy | Beeramguda
Telangana,Jangaon,Jangaon,Independent House,3,3,1824,Furnished,South-East,0,3225000,Jangaon | Palakurthi
Telangana,Vikarabad,Vikarabad,Independent Builder Floor,3,3,1421,Semi-Furnished,East,1,3025000,Vikarabad | Marpalle
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,2,2,1104,Semi-Furnished,North,7,7750000,Medchal Malkajgiri | Quthbullapur
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,4,3,2119,Semi-Furnished,South,16,13025000,Medchal Malkajgiri | Pragathi Nagar
Andhra Pradesh,Annamayya,Madanapalle,Independent House,2,2,1092,Furnished,East,1,2175000,Annamayya | Nandalur
Telangana,Hyderabad,Hyderabad,Independent House,4,4,2241,Unfurnished,North-East,3,29050000,Hyderabad | Jubilee Hills
Telangana,Khammam,Khammam,Residential Plot,0,0,1620,Not Applicable,South-East,0,3075000,Khammam | Gandhi Chowk
Telangana,Yadadri Bhuvanagiri,Bhongir,Apartment,2,1,948,Unfurnished,North,0,2500000,Yadadri Bhuvanagiri | Alair
Andhra Pradesh,Bapatla,Bapatla,Independent Builder Floor,3,3,1217,Semi-Furnished,South,0,3700000,Bapatla | Chirala
Telangana,Hyderabad,Hyderabad,Apartment,3,3,1238,Semi-Furnished,East,22,7300000,Hyderabad | Kachiguda
Andhra Pradesh,East Godavari,Rajahmundry,Apartment,4,4,2497,Unfurnished,East,8,9625000,East Godavari | Innespeta
Andhra Pradesh,East Godavari,Rajahmundry,Villa,4,5,2132,Unfurnished,East,7,7725000,East Godavari | Korukonda
Andhra Pradesh,Nandyal,Nandyal,Independent House,5,5,2605,Unfurnished,North-East,4,9125000,Nandyal | Nandyal Town
Andhra Pradesh,Eluru,Eluru,Apartment,3,4,1202,Unfurnished,South,2,2125000,Eluru | Bhimadole
Andhra Pradesh,NTR,Vijayawada,Apartment,2,2,1128,Semi-Furnished,South,1,7175000,NTR | Auto Nagar
Telangana,Sangareddy,Sangareddy,Apartment,2,2,1310,Semi-Furnished,East,1,7300000,Sangareddy | Sangareddy Town
Telangana,Rangareddy,Hyderabad,Apartment,3,4,1782,Unfurnished,West,0,7125000,Rangareddy | Kothur
Telangana,Hanumakonda,Hanamkonda,Independent House,6,6,2809,Semi-Furnished,North-East,21,14750000,Hanumakonda | Hunter Road
Telangana,Mancherial,Mancherial,Apartment,2,2,1212,Unfurnished,East,0,2825000,Mancherial | Bellampalli
Andhra Pradesh,Alluri Sitharama Raju,Paderu,Residential Plot,0,0,900,Not Applicable,East,0,550000,Alluri Sitharama Raju | Dumbriguda
Andhra Pradesh,East Godavari,Rajahmundry,Apartment,3,3,1314,Unfurnished,East,1,4425000,East Godavari | Anaparthi
Telangana,Mahabubnagar,Mahabubnagar,Residential Plot,0,0,1503,Not Applicable,South,0,1000000,Mahabubnagar | Bhoothpur
Andhra Pradesh,Kurnool,Kurnool,Independent House,3,2,1999,Unfurnished,North,1,5500000,Kurnool | Yemmiganur
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Amalapuram,Apartment,3,2,1501,Semi-Furnished,South-East,1,3600000,Dr. B.R. Ambedkar Konaseema | Mummidivaram
Andhra Pradesh,Srikakulam,Srikakulam,Residential Plot,0,0,3600,Not Applicable,West,0,3750000,Srikakulam | Etcherla
Andhra Pradesh,Sri Sathya Sai,Puttaparthi,Independent House,3,3,1899,Unfurnished,North,0,8300000,Sri Sathya Sai | Puttaparthi Town
Telangana,Jagtial,Jagtial,Residential Plot,0,0,1503,Not Applicable,South,0,2775000,Jagtial | Jagtial Town
Andhra Pradesh,Markapuram,Markapuram,Independent House,2,2,1057,Unfurnished,North-East,18,2700000,Markapuram | Markapuram Town
Telangana,Wanaparthy,Wanaparthy,Independent House,3,3,1729,Unfurnished,East,5,3325000,Wanaparthy | Atmakur
Telangana,Adilabad,Adilabad,Apartment,2,1,1042,Semi-Furnished,South,12,3000000,Adilabad | Adilabad Town
Telangana,Jangaon,Jangaon,Independent House,3,2,1579,Furnished,West,4,2525000,Jangaon | Bachannapet
Telangana,Hyderabad,Hyderabad,Apartment,3,2,1791,Unfurnished,North,0,19575000,Hyderabad | Begumpet
Telangana,Karimnagar,Karimnagar,Apartment,2,2,851,Semi-Furnished,North,2,3550000,Karimnagar | Jyothinagar
Andhra Pradesh,Tirupati,Tirupati,Independent House,4,4,2141,Unfurnished,West,20,8700000,Tirupati | Tummalagunta
Telangana,Mancherial,Mancherial,Residential Plot,0,0,1350,Not Applicable,East,0,2625000,Mancherial | Mancherial Town
Andhra Pradesh,West Godavari,Bhimavaram,Villa,3,3,1930,Unfurnished,North-East,6,6725000,West Godavari | Penugonda
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,3,2,1925,Semi-Furnished,South,7,13650000,Medchal Malkajgiri | Malkajgiri
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,3,2,1636,Unfurnished,North,0,9425000,Medchal Malkajgiri | Ghatkesar
Telangana,Sangareddy,Hyderabad,Independent House,4,4,2218,Furnished,North,0,16375000,Sangareddy | Kollur
Andhra Pradesh,Chittoor,Chittoor,Independent House,2,2,1003,Semi-Furnished,East,28,2900000,Chittoor | Gandhi Road
Andhra Pradesh,Guntur,Guntur,Residential Plot,0,0,1800,Not Applicable,West,0,2750000,Guntur | Tenali
Telangana,Yadadri Bhuvanagiri,Bhongir,Residential Plot,0,0,900,Not Applicable,South,0,1700000,Yadadri Bhuvanagiri | Yadagirigutta
Andhra Pradesh,Tirupati,Tirupati,Apartment,2,2,1032,Semi-Furnished,West,21,4275000,Tirupati | Renigunta
Andhra Pradesh,Nandyal,Nandyal,Residential Plot,0,0,2997,Not Applicable,West,0,1950000,Nandyal | Atmakur
Telangana,Karimnagar,Karimnagar,Independent House,6,6,3072,Unfurnished,West,3,10475000,Karimnagar | Huzurabad
Telangana,Nagarkurnool,Nagarkurnool,Independent House,2,2,1121,Unfurnished,North,0,2200000,Nagarkurnool | Kollapur
Telangana,Bhadradri Kothagudem,Kothagudem,Independent House,5,5,2399,Semi-Furnished,North,20,3500000,Bhadradri Kothagudem | Dammapeta
Telangana,Sangareddy,Sangareddy,Apartment,3,2,1778,Unfurnished,North,0,8775000,Sangareddy | Sangareddy Town
Telangana,Hyderabad,Hyderabad,Residential Plot,0,0,1800,Not Applicable,North,0,12425000,Hyderabad | Ameerpet
Telangana,Hyderabad,Hyderabad,Independent House,3,3,1608,Semi-Furnished,North,0,19125000,Hyderabad | Somajiguda
Andhra Pradesh,Palnadu,Narasaraopet,Residential Plot,0,0,1620,Not Applicable,South-East,0,2000000,Palnadu | Chilakaluripet
Telangana,Hanumakonda,Hanamkonda,Independent House,4,4,2170,Unfurnished,East,3,12875000,Hanumakonda | Naimnagar
Andhra Pradesh,Kakinada,Kakinada,Independent House,4,4,2612,Semi-Furnished,North,5,13700000,Kakinada | Sasikanth Nagar
Telangana,Rangareddy,Hyderabad,Independent Builder Floor,3,3,1387,Furnished,East,6,9000000,Rangareddy | Ibrahimpatnam
Telangana,Karimnagar,Karimnagar,Apartment,1,2,658,Semi-Furnished,North-East,8,2200000,Karimnagar | Kothapally
Telangana,Mancherial,Mancherial,Apartment,1,1,506,Semi-Furnished,East,2,1175000,Mancherial | Luxettipet
Telangana,Mahabubabad,Mahabubabad,Apartment,3,4,1527,Semi-Furnished,South-East,0,3125000,Mahabubabad | Dornakal
Telangana,Karimnagar,Karimnagar,Apartment,3,3,1330,Unfurnished,East,5,7100000,Karimnagar | Jyothinagar
Andhra Pradesh,Eluru,Eluru,Residential Plot,0,0,2160,Not Applicable,West,0,2800000,Eluru | Jangareddygudem
Andhra Pradesh,Bapatla,Bapatla,Residential Plot,0,0,2700,Not Applicable,North-East,0,4000000,Bapatla | Suryalanka
Telangana,Khammam,Khammam,Residential Plot,0,0,2160,Not Applicable,South,0,4475000,Khammam | Gandhi Chowk
Telangana,Jangaon,Jangaon,Apartment,2,2,1129,Semi-Furnished,West,9,2450000,Jangaon | Station Ghanpur
Telangana,Warangal,Warangal,Independent House,4,4,2011,Unfurnished,North-East,0,9700000,Warangal | Mattewada
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,1,1,438,Unfurnished,East,0,2150000,Medchal Malkajgiri | Medchal
Andhra Pradesh,YSR Kadapa,Kadapa,Apartment,2,2,901,Unfurnished,West,3,1525000,YSR Kadapa | Kamalapuram
Telangana,Sangareddy,Sangareddy,Residential Plot,0,0,1620,Not Applicable,North,0,3200000,Sangareddy | Zaheerabad
Andhra Pradesh,Krishna,Machilipatnam,Villa,5,4,2946,Semi-Furnished,South,4,10725000,Krishna | Unguturu
Andhra Pradesh,Tirupati,Tirupati,Apartment,2,2,889,Semi-Furnished,West,1,5150000,Tirupati | K.T. Road
Telangana,Karimnagar,Karimnagar,Independent House,4,4,2058,Unfurnished,East,1,7050000,Karimnagar | Huzurabad
Andhra Pradesh,Tirupati,Tirupati,Independent House,2,2,1181,Unfurnished,North-East,3,8850000,Tirupati | K.T. Road
Telangana,Mancherial,Mancherial,Apartment,2,3,997,Semi-Furnished,North,9,3250000,Mancherial | Mancherial Town
Telangana,Kumuram Bheem Asifabad,Asifabad,Independent Builder Floor,3,3,1082,Unfurnished,West,0,2325000,Kumuram Bheem Asifabad | Kagaznagar
Telangana,Hyderabad,Hyderabad,Apartment,4,3,2349,Unfurnished,East,0,18050000,Hyderabad | Charminar
Telangana,Mahabubnagar,Mahabubnagar,Residential Plot,0,0,1197,Not Applicable,South,0,900000,Mahabubnagar | Hanwada
Andhra Pradesh,Guntur,Guntur,Residential Plot,0,0,1503,Not Applicable,North,0,4100000,Guntur | Vidya Nagar
Telangana,Vikarabad,Vikarabad,Residential Plot,0,0,2700,Not Applicable,South-East,0,1925000,Vikarabad | Dharur
Andhra Pradesh,Vizianagaram,Vizianagaram,Independent House,3,2,1693,Unfurnished,West,0,3400000,Vizianagaram | Pusapatirega
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,2,3,1130,Unfurnished,East,14,4450000,Sri Potti Sriramulu Nellore | Pogathota
Telangana,Rangareddy,Hyderabad,Apartment,2,2,865,Unfurnished,East,0,10975000,Rangareddy | Financial District
Andhra Pradesh,West Godavari,Bhimavaram,Apartment,3,3,1260,Unfurnished,North-East,0,4650000,West Godavari | Tadepalligudem
Andhra Pradesh,Nandyal,Nandyal,Independent Builder Floor,3,4,1395,Unfurnished,South-East,0,2350000,Nandyal | Panyam
Andhra Pradesh,Prakasam,Ongole,Apartment,3,4,1899,Semi-Furnished,East,9,3825000,Prakasam | Kondepi
Telangana,Mahabubabad,Mahabubabad,Residential Plot,0,0,1620,Not Applicable,West,0,1325000,Mahabubabad | Thorrur
Andhra Pradesh,Nandyal,Nandyal,Apartment,3,2,1550,Unfurnished,North,0,4450000,Nandyal | Dhone
Telangana,Rangareddy,Hyderabad,Apartment,2,3,923,Semi-Furnished,East,3,4600000,Rangareddy | Shadnagar
Telangana,Rangareddy,Hyderabad,Apartment,3,4,1433,Unfurnished,North-East,0,9800000,Rangareddy | Rajendranagar
Andhra Pradesh,East Godavari,Rajahmundry,Independent House,4,4,1934,Unfurnished,East,5,9625000,East Godavari | Prakash Nagar
Telangana,Adilabad,Adilabad,Independent House,4,5,2329,Unfurnished,East,1,3475000,Adilabad | Talamadugu
Telangana,Jogulamba Gadwal,Gadwal,Independent House,3,4,1695,Semi-Furnished,West,7,2100000,Jogulamba Gadwal | Maldakal
Telangana,Nalgonda,Nalgonda,Apartment,4,4,2662,Semi-Furnished,East,1,5675000,Nalgonda | Chityal
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Independent House,3,3,1551,Unfurnished,East,1,13375000,Visakhapatnam | Yendada
Andhra Pradesh,YSR Kadapa,Kadapa,Villa,5,5,3079,Unfurnished,West,30,10125000,YSR Kadapa | Proddatur
Telangana,Hyderabad,Hyderabad,Apartment,2,1,946,Unfurnished,South,0,6975000,Hyderabad | Musheerabad
Andhra Pradesh,West Godavari,Bhimavaram,Apartment,3,4,1404,Semi-Furnished,North-East,4,5500000,West Godavari | Tadepalligudem
Andhra Pradesh,Krishna,Machilipatnam,Apartment,3,3,1138,Semi-Furnished,North,2,5175000,Krishna | Machilipatnam Town
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Independent House,5,4,2531,Semi-Furnished,South,3,11950000,Visakhapatnam | Gopalapatnam
Telangana,Jagtial,Jagtial,Residential Plot,0,0,2403,Not Applicable,South,0,1650000,Jagtial | Dharmapuri
Telangana,Hyderabad,Hyderabad,Apartment,4,3,2323,Unfurnished,North,0,13475000,Hyderabad | Charminar
Telangana,Hyderabad,Hyderabad,Independent House,2,2,1028,Unfurnished,North-East,5,8500000,Hyderabad | Tarnaka
Telangana,Sangareddy,Sangareddy,Independent House,4,3,2071,Unfurnished,East,3,10025000,Sangareddy | Jinnaram
Telangana,Hyderabad,Hyderabad,Independent House,3,3,1361,Semi-Furnished,West,30,11850000,Hyderabad | Himayatnagar
Telangana,Hyderabad,Hyderabad,Apartment,3,3,1920,Furnished,South,1,19175000,Hyderabad | Shaikpet
Andhra Pradesh,Anantapur,Anantapur,Residential Plot,0,0,1350,Not Applicable,East,0,1000000,Anantapur | Singanamala
Telangana,Rangareddy,Hyderabad,Independent Builder Floor,3,3,1274,Semi-Furnished,East,5,9575000,Rangareddy | Adibatla
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,3,2,1242,Unfurnished,North-East,0,10675000,Medchal Malkajgiri | Kukatpally
Telangana,Kamareddy,Kamareddy,Residential Plot,0,0,1620,Not Applicable,West,0,1750000,Kamareddy | Banswada
Telangana,Jangaon,Jangaon,Independent House,5,4,2385,Semi-Furnished,South-East,7,7575000,Jangaon | Jangaon Town
Telangana,Warangal,Warangal,Independent House,3,2,1449,Unfurnished,North,1,6300000,Warangal | Khila Warangal
Andhra Pradesh,Chittoor,Chittoor,Independent House,6,6,3104,Unfurnished,East,13,9050000,Chittoor | Kuppam
Andhra Pradesh,Krishna,Vijayawada,Residential Plot,0,0,1197,Not Applicable,North-East,0,2650000,Krishna | Gannavaram
Telangana,Hyderabad,Hyderabad,Apartment,4,4,2360,Semi-Furnished,East,8,20700000,Hyderabad | Kachiguda
Telangana,Nagarkurnool,Nagarkurnool,Independent House,4,4,1977,Semi-Furnished,East,0,4450000,Nagarkurnool | Achampet
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,2,2,1030,Semi-Furnished,East,1,2950000,Sri Potti Sriramulu Nellore | Atmakur
Telangana,Warangal,Warangal,Villa,3,3,2180,Semi-Furnished,East,30,5000000,Warangal | Geesugonda
Telangana,Hyderabad,Hyderabad,Independent Builder Floor,2,2,1038,Unfurnished,North,0,7375000,Hyderabad | Kachiguda
Telangana,Khammam,Khammam,Independent House,4,5,2487,Semi-Furnished,South,10,4925000,Khammam | Thirumalayapalem
Telangana,Hyderabad,Hyderabad,Apartment,2,1,971,Semi-Furnished,South-East,1,7400000,Hyderabad | Tarnaka
Andhra Pradesh,NTR,Vijayawada,Residential Plot,0,0,1620,Not Applicable,North,0,2550000,NTR | Nandigama
Andhra Pradesh,Sri Sathya Sai,Puttaparthi,Independent House,3,4,1496,Semi-Furnished,West,1,3200000,Sri Sathya Sai | Bukkapatnam
Telangana,Jayashankar Bhupalpally,Bhupalpally,Independent Builder Floor,3,3,1601,Semi-Furnished,South-East,11,2150000,Jayashankar Bhupalpally | Malharrao
Telangana,Vikarabad,Vikarabad,Apartment,2,1,1042,Unfurnished,East,0,1900000,Vikarabad | Marpalle
Telangana,Rangareddy,Hyderabad,Residential Plot,0,0,2700,Not Applicable,North-East,0,30350000,Rangareddy | Madhapur
Andhra Pradesh,Krishna,Machilipatnam,Independent House,5,6,2540,Furnished,East,1,8325000,Krishna | Nandivada
Andhra Pradesh,West Godavari,Bhimavaram,Residential Plot,0,0,1800,Not Applicable,West,0,3100000,West Godavari | Tadepalligudem
Telangana,Yadadri Bhuvanagiri,Bhongir,Residential Plot,0,0,1197,Not Applicable,South-East,0,1275000,Yadadri Bhuvanagiri | Pochampally
Telangana,Rangareddy,Hyderabad,Apartment,3,3,1564,Unfurnished,North-East,0,17475000,Rangareddy | Narsingi
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,4,4,2148,Unfurnished,South,0,16825000,Medchal Malkajgiri | Kompally
Telangana,Khammam,Khammam,Apartment,3,3,1245,Furnished,North-East,2,3975000,Khammam | Kusumanchi
Andhra Pradesh,Anantapur,Anantapur,Apartment,4,4,1988,Unfurnished,East,0,6975000,Anantapur | Tapovanam
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Villa,5,6,3328,Semi-Furnished,East,4,22950000,Sri Potti Sriramulu Nellore | Trunk Road
Telangana,Rangareddy,Hyderabad,Apartment,3,3,1361,Unfurnished,South,0,6575000,Rangareddy | Shadnagar
Andhra Pradesh,Anakapalli,Anakapalle,Apartment,2,2,1007,Semi-Furnished,North-East,8,3775000,Anakapalli | Narsipatnam
Telangana,Warangal,Warangal,Apartment,3,4,1668,Unfurnished,South,1,5000000,Warangal | Narsampet
Andhra Pradesh,Kurnool,Kurnool,Apartment,2,2,966,Semi-Furnished,North,2,3475000,Kurnool | Adoni
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram,Apartment,2,2,943,Semi-Furnished,East,14,2150000,Parvathipuram Manyam | Palakonda
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,3,3,1449,Semi-Furnished,East,0,11650000,Medchal Malkajgiri | Pragathi Nagar
Telangana,Hyderabad,Hyderabad,Apartment,3,3,1739,Unfurnished,East,2,12375000,Hyderabad | Habsiguda
Andhra Pradesh,East Godavari,Rajahmundry,Apartment,3,3,1571,Unfurnished,North-East,0,8675000,East Godavari | Prakash Nagar
Andhra Pradesh,Anantapur,Anantapur,Independent House,6,6,2738,Unfurnished,East,14,6200000,Anantapur | Tadipatri
Andhra Pradesh,Kurnool,Kurnool,Villa,3,3,2328,Semi-Furnished,South,3,11850000,Kurnool | Venkataramana Colony
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,4,4,2219,Unfurnished,South,0,16250000,Medchal Malkajgiri | AS Rao Nagar
Telangana,Mancherial,Mancherial,Independent House,2,2,945,Unfurnished,East,1,4100000,Mancherial | Mancherial Town
Telangana,Jayashankar Bhupalpally,Bhupalpally,Independent House,4,4,1951,Furnished,West,4,2525000,Jayashankar Bhupalpally | Palimela
Telangana,Hyderabad,Hyderabad,Apartment,2,1,802,Unfurnished,South,0,7725000,Hyderabad | Secunderabad
Telangana,Sangareddy,Hyderabad,Residential Plot,0,0,1350,Not Applicable,East,0,4525000,Sangareddy | Bollaram
Andhra Pradesh,Srikakulam,Srikakulam,Apartment,4,4,2325,Semi-Furnished,North-East,4,7675000,Srikakulam | Arasavalli
Telangana,Suryapet,Suryapet,Apartment,2,2,967,Unfurnished,North,0,1600000,Suryapet | Mothey
Telangana,Rangareddy,Hyderabad,Apartment,1,2,581,Unfurnished,East,0,5450000,Rangareddy | Narsingi
Andhra Pradesh,Kakinada,Kakinada,Villa,3,3,2518,Unfurnished,North-East,1,17575000,Kakinada | Sarpavaram
Andhra Pradesh,Polavaram,Rampachodavaram,Independent House,4,4,2157,Unfurnished,North-East,4,4675000,Polavaram | Rampachodavaram
Telangana,Rangareddy,Hyderabad,Independent Builder Floor,3,3,1469,Unfurnished,North-East,0,18875000,Rangareddy | Financial District
Telangana,Hyderabad,Hyderabad,Independent House,4,3,2156,Semi-Furnished,South-East,16,16750000,Hyderabad | Secunderabad
Andhra Pradesh,Srikakulam,Srikakulam,Apartment,4,4,2055,Furnished,East,4,4925000,Srikakulam | Sompeta
Telangana,Suryapet,Suryapet,Residential Plot,0,0,1197,Not Applicable,West,0,1300000,Suryapet | Kodad
Telangana,Rangareddy,Hyderabad,Residential Plot,0,0,1998,Not Applicable,North,0,23100000,Rangareddy | Financial District
Telangana,Hyderabad,Hyderabad,Independent House,4,4,2379,Unfurnished,West,25,12225000,Hyderabad | Malakpet
Andhra Pradesh,Krishna,Vijayawada,Independent House,4,4,2209,Unfurnished,East,1,11250000,Krishna | Gannavaram
Andhra Pradesh,Tirupati,Tirupati,Independent House,3,3,1876,Unfurnished,West,6,9550000,Tirupati | Renigunta
Andhra Pradesh,Markapuram,Markapuram,Residential Plot,0,0,2997,Not Applicable,North,0,4675000,Markapuram | Markapuram Town
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Residential Plot,0,0,3600,Not Applicable,North,0,17200000,Visakhapatnam | Rushikonda
Andhra Pradesh,Nandyal,Nandyal,Independent House,4,5,2077,Furnished,North-East,1,4300000,Nandyal | Nandikotkur
Telangana,Rangareddy,Hyderabad,Apartment,3,3,1376,Furnished,West,9,8650000,Rangareddy | Tukkuguda
Andhra Pradesh,Annamayya,Madanapalle,Apartment,2,2,985,Unfurnished,South-East,1,2425000,Annamayya | Rajampet
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Apartment,4,5,2182,Semi-Furnished,East,1,11725000,Visakhapatnam | Bheemili
Telangana,Jagtial,Jagtial,Independent Builder Floor,3,3,1495,Unfurnished,East,0,3175000,Jagtial | Metpally
Andhra Pradesh,Srikakulam,Srikakulam,Independent House,2,2,1544,Semi-Furnished,North,2,4425000,Srikakulam | Palasa
Andhra Pradesh,East Godavari,Rajahmundry,Residential Plot,0,0,2997,Not Applicable,East,0,7000000,East Godavari | Morampudi
Telangana,Nizamabad,Nizamabad,Apartment,2,3,918,Unfurnished,North,0,3725000,Nizamabad | Khaleelwadi
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,2,2,1497,Semi-Furnished,North-East,1,16325000,Medchal Malkajgiri | KPHB
Telangana,Mancherial,Mancherial,Residential Plot,0,0,1503,Not Applicable,North,0,1425000,Mancherial | Bellampalli
Telangana,Hyderabad,Hyderabad,Apartment,3,2,1548,Furnished,North,1,12500000,Hyderabad | Tarnaka
Telangana,Siddipet,Siddipet,Apartment,3,3,1414,Furnished,North,5,6775000,Siddipet | Siddipet Town
Andhra Pradesh,Markapuram,Markapuram,Apartment,3,3,1442,Unfurnished,West,0,2250000,Markapuram | Yerragondapalem
Andhra Pradesh,West Godavari,Bhimavaram,Villa,4,5,3006,Furnished,North,24,5975000,West Godavari | Attili
Telangana,Nizamabad,Nizamabad,Independent Builder Floor,3,3,1328,Unfurnished,South-East,0,4375000,Nizamabad | Vinayak Nagar
Telangana,Mahabubabad,Mahabubabad,Apartment,2,2,952,Semi-Furnished,South-East,13,1825000,Mahabubabad | Thorrur
Telangana,Rangareddy,Hyderabad,Independent House,4,4,2307,Unfurnished,East,3,14025000,Rangareddy | Adibatla
Andhra Pradesh,NTR,Vijayawada,Apartment,3,3,1457,Furnished,North-East,1,14225000,NTR | MG Road
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,4,4,1698,Unfurnished,North,8,19275000,Medchal Malkajgiri | KPHB
Telangana,Mahabubabad,Mahabubabad,Apartment,2,1,1062,Unfurnished,North,0,2200000,Mahabubabad | Dornakal
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,4,4,1702,Unfurnished,North,21,9450000,Medchal Malkajgiri | Kompally
Telangana,Sangareddy,Hyderabad,Independent House,5,4,2583,Unfurnished,South-East,1,15500000,Sangareddy | Ameenpur
Andhra Pradesh,Tirupati,Tirupati,Independent House,4,3,2390,Semi-Furnished,South,9,13525000,Tirupati | Korlagunta
Andhra Pradesh,Guntur,Guntur,Independent House,3,2,1396,Semi-Furnished,North-East,6,8250000,Guntur | Arundelpet
Andhra Pradesh,NTR,Vijayawada,Independent House,5,5,2603,Semi-Furnished,East,3,16725000,NTR | Vidyadharapuram
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Apartment,2,2,1136,Semi-Furnished,East,11,6025000,Visakhapatnam | Gajuwaka
Andhra Pradesh,East Godavari,Rajahmundry,Villa,3,3,1686,Unfurnished,West,14,8200000,East Godavari | Danavaipeta
Andhra Pradesh,Polavaram,Rampachodavaram,Independent House,2,2,1138,Semi-Furnished,North-East,3,1575000,Polavaram | Yetapaka
Andhra Pradesh,Polavaram,Rampachodavaram,Residential Plot,0,0,1800,Not Applicable,North-East,0,950000,Polavaram | Vararamachandrapuram
Telangana,Kamareddy,Kamareddy,Residential Plot,0,0,2997,Not Applicable,West,0,1925000,Kamareddy | Domakonda
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,3,3,1643,Semi-Furnished,South,7,9525000,Sri Potti Sriramulu Nellore | Stonehousepeta
Andhra Pradesh,YSR Kadapa,Kadapa,Apartment,4,4,1841,Semi-Furnished,North-East,3,3900000,YSR Kadapa | Vontimitta
Andhra Pradesh,Anantapur,Anantapur,Apartment,2,2,888,Unfurnished,South,13,2750000,Anantapur | Tapovanam
Telangana,Nalgonda,Nalgonda,Independent House,3,4,1494,Unfurnished,North,3,3100000,Nalgonda | Nagarjuna Sagar
Telangana,Rangareddy,Hyderabad,Residential Plot,0,0,1197,Not Applicable,East,0,13375000,Rangareddy | Kokapet
Telangana,Nirmal,Nirmal,Residential Plot,0,0,1197,Not Applicable,South-East,0,1675000,Nirmal | Nirmal Town
Telangana,Rangareddy,Hyderabad,Apartment,2,2,1194,Furnished,North,12,12500000,Rangareddy | Nallagandla
Telangana,Rangareddy,Hyderabad,Residential Plot,0,0,1197,Not Applicable,North,0,6575000,Rangareddy | LB Nagar
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,3,3,1073,Unfurnished,North,0,5175000,Medchal Malkajgiri | Ghatkesar
Andhra Pradesh,YSR Kadapa,Kadapa,Residential Plot,0,0,1800,Not Applicable,North-East,0,1225000,YSR Kadapa | Kamalapuram
Telangana,Khammam,Khammam,Apartment,3,3,1412,Semi-Furnished,East,7,5925000,Khammam | Mamillagudem
Andhra Pradesh,Krishna,Machilipatnam,Independent House,3,3,1406,Unfurnished,West,1,4200000,Krishna | Unguturu
Andhra Pradesh,West Godavari,Bhimavaram,Villa,4,4,2132,Furnished,North,1,14450000,West Godavari | Bhimavaram Town
Andhra Pradesh,East Godavari,Rajahmundry,Independent House,2,2,1228,Unfurnished,West,0,7000000,East Godavari | Morampudi
Andhra Pradesh,Chittoor,Chittoor,Independent House,3,3,1448,Unfurnished,North,0,5500000,Chittoor | Gandhi Road
Andhra Pradesh,Anantapur,Anantapur,Villa,3,3,1993,Furnished,South,0,9375000,Anantapur | Tapovanam
Telangana,Hanumakonda,Hanamkonda,Residential Plot,0,0,4500,Not Applicable,South,0,12350000,Hanumakonda | Naimnagar
Andhra Pradesh,NTR,Vijayawada,Residential Plot,0,0,1350,Not Applicable,West,0,2925000,NTR | Gollapudi
Andhra Pradesh,Vizianagaram,Vizianagaram,Independent House,4,5,2221,Unfurnished,South-East,28,4825000,Vizianagaram | Cheepurupalli
Telangana,Warangal,Warangal,Apartment,3,2,1280,Unfurnished,South,0,3150000,Warangal | Narsampet
Telangana,Mahabubabad,Mahabubabad,Villa,5,5,3687,Unfurnished,North,6,6450000,Mahabubabad | Maripeda
Andhra Pradesh,Kakinada,Kakinada,Independent House,6,5,3031,Unfurnished,East,25,15200000,Kakinada | Jagannaickpur
Telangana,Rangareddy,Hyderabad,Independent House,3,3,1769,Unfurnished,North-East,0,14625000,Rangareddy | Hayathnagar
